campaign_id,impressions,clicks,conversions,spend,budget,quality_score,region,device,status
CMP_1,1837,127,2,151.48,4655,8,Singapore,mobile,paused
CMP_2,58594,319,0,670.08,4803,10,Singapore,mobile,active
CMP_3,97434,3286,61,5116.91,4590,5,UK,desktop,paused
CMP_4,55001,3612,126,6305.75,4620,9,UAE,mobile,active
CMP_5,53368,3110,340,2462.97,3431,9,US,mobile,active
CMP_6,30612,1744,88,3110.23,346,2,UK,desktop,active
CMP_7,21554,746,0,1903.04,4952,6,US,mobile,paused
CMP_8,57723,4193,495,5337.39,757,9,UK,tablet,paused
CMP_9,20308,1256,73,3551.0,2947,9,UAE,desktop,paused
CMP_10,38446,2634,89,773.42,2812,5,India,tablet,active
CMP_11,19432,789,19,190.94,945,4,Germany,tablet,active
CMP_12,71009,2780,96,5865.46,1452,2,India,tablet,paused
CMP_13,4907,301,8,700.77,1700,2,Singapore,mobile,paused
CMP_14,18911,372,8,1056.48,3212,2,Singapore,desktop,active
CMP_15,81810,5141,466,6291.49,681,4,India,tablet,paused
CMP_16,33393,842,71,537.71,3257,10,US,desktop,active
CMP_17,86599,5687,594,10229.19,2595,4,Germany,mobile,paused
CMP_18,43866,1546,0,4534.0,4534,7,UK,tablet,active
CMP_19,39568,362,23,483.27,2073,3,UAE,mobile,active
CMP_20,10505,491,50,301.57,3239,6,UK,mobile,paused
CMP_21,73160,3838,453,2067.24,4912,10,India,desktop,paused
CMP_22,20106,1508,61,468.35,2142,6,UK,mobile,paused
CMP_23,88367,6682,0,4973.89,4744,4,US,mobile,paused
CMP_24,15935,492,28,561.58,3014,3,UAE,tablet,paused
CMP_25,86322,6857,703,12991.18,4007,7,US,tablet,paused
CMP_26,71337,214,531,12162.56,4331,1,India,mobile,active
CMP_27,86539,1502,147,3325.7,4507,5,UK,tablet,active
CMP_28,74872,4561,363,3339.96,1356,3,Germany,mobile,paused
CMP_29,73528,4386,291,12770.25,779,6,UK,desktop,paused
CMP_30,38908,1246,26,2251.17,2691,7,US,mobile,active
CMP_31,36724,1065,96,1811.36,2988,8,India,tablet,active
CMP_32,46574,3085,332,3589.34,732,1,UK,tablet,active
