ticket_id,ticket_text,diagnosed_issue
TICKET_1,Why is my CPC so high?,poor keyword targeting
TICKET_2,Ads approved but not delivering,bid strategy problem
TICKET_3,Campaign spend increased unexpectedly,low CTR
TICKET_4,Why are my ads not showing?,conversion tracking failure
TICKET_5,Why are my ads not showing?,low CTR
TICKET_6,My campaign budget finished too quickly,low CTR
TICKET_7,Conversions stopped tracking,bid strategy problem
TICKET_8,My campaign budget finished too quickly,budget exhausted
TICKET_9,Why are my ads not showing?,poor keyword targeting
TICKET_10,CTR dropped suddenly yesterday,low CTR
TICKET_11,Why are my ads not showing?,bid strategy problem
TICKET_12,Conversions stopped tracking,poor keyword targeting
TICKET_13,Conversions stopped tracking,budget exhausted
TICKET_14,Why are my ads not showing?,low CTR
TICKET_15,Conversions stopped tracking,poor keyword targeting
TICKET_16,My ads are getting clicks but no conversions,budget exhausted
TICKET_17,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_18,Traffic from ads decreased,conversion tracking failure
TICKET_19,Why is my CPC so high?,budget exhausted
TICKET_20,Conversions stopped tracking,conversion tracking failure
TICKET_21,Campaign spend increased unexpectedly,budget exhausted
TICKET_22,CTR dropped suddenly yesterday,low CTR
TICKET_23,CTR dropped suddenly yesterday,low CTR
TICKET_24,My ads are getting clicks but no conversions,budget exhausted
TICKET_25,Why are my ads not showing?,bid strategy problem
TICKET_26,Why is my CPC so high?,budget exhausted
TICKET_27,Ads approved but not delivering,conversion tracking failure
TICKET_28,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_29,Ads approved but not delivering,conversion tracking failure
TICKET_30,Impressions are high but nobody is clicking,conversion tracking failure
TICKET_31,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_32,Traffic from ads decreased,low CTR
TICKET_33,Impressions are high but nobody is clicking,low CTR
TICKET_34,Why are my ads not showing?,budget exhausted
TICKET_35,My campaign budget finished too quickly,poor keyword targeting
TICKET_36,CTR dropped suddenly yesterday,poor keyword targeting
TICKET_37,Why is my CPC so high?,conversion tracking failure
TICKET_38,Conversions stopped tracking,conversion tracking failure
TICKET_39,My ads are getting clicks but no conversions,conversion tracking failure
TICKET_40,Ads approved but not delivering,bid strategy problem
TICKET_41,Campaign spend increased unexpectedly,low CTR
TICKET_42,CTR dropped suddenly yesterday,budget exhausted
TICKET_43,Why are my ads not showing?,budget exhausted
TICKET_44,My campaign budget finished too quickly,conversion tracking failure
TICKET_45,Traffic from ads decreased,budget exhausted
TICKET_46,Why is my CPC so high?,bid strategy problem
TICKET_47,Why are my ads not showing?,low CTR
TICKET_48,Conversions stopped tracking,low CTR
TICKET_49,Conversions stopped tracking,poor keyword targeting
TICKET_50,My campaign budget finished too quickly,bid strategy problem
TICKET_51,Conversions stopped tracking,budget exhausted
TICKET_52,Why are my ads not showing?,conversion tracking failure
TICKET_53,Conversions stopped tracking,poor keyword targeting
TICKET_54,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_55,My campaign budget finished too quickly,low CTR
TICKET_56,Ads approved but not delivering,bid strategy problem
TICKET_57,Campaign spend increased unexpectedly,poor keyword targeting
